שם הרשות המקומית,אשכול (ויקיפדיה),"אשכול (טבלת למ""ס/אקסל)","אשכול בדו""ח המצוינות 2024 [source: 1]",סטטוס התאמה,הנתון הנכון / הסבר
ירושלים,2,2,2 [source: 1],תואם מלא,2
תל אביב - יפו,8,8,8 [source: 1],תואם מלא,8
חיפה,7,7,7 [source: 1],תואם מלא,7
ראשון לציון,7,7,7 [source: 1],תואם מלא,7
פתח תקווה,7,7,7 [source: 1],תואם מלא,7
נתניה,6,6,6 [source: 1],תואם מלא,6
בני ברק,2,2,2 [source: 1],תואם מלא,2
אשדוד,5,5,5 [source: 1],תואם מלא,5
באר שבע,5,5,5 [source: 1],תואם מלא,5
רמת גן,8,8,8 [source: 1],תואם מלא,8
בית שמש,2,2,2 [source: 1],תואם מלא,2
אשקלון,5,5,5 [source: 1],תואם מלא,5
רחובות,7,7,7 [source: 1],תואם מלא,7
בת ים,5,5,5 [source: 1],תואם מלא,5
הרצליה,8,8,8 [source: 1],תואם מלא,8
כפר סבא,8,8,8 [source: 1],תואם מלא,8
חדרה,6,6,6 [source: 1],תואם מלא,6
מודיעין-מכבים-רעות,8,9,9 [source: 1],❌ אי-התאמה,"9 (מעודכן בלמ""ס ובכרטיס הרשות בדו""ח) [source: 1]"
מודיעין עילית,1,1,1,תואם מלא,1
לוד,3,4,3 [source: 1],❌ אי-התאמה,"3 (לפי מדד הלמ""ס 2019 והדו""ח) [source: 1]"
רעננה,8,9,8 [source: 1],❌ אי-התאמה,"8 (לפי מדד הלמ""ס 2019 והדו""ח) [source: 1]"
רמלה,4,4,4 [source: 1],תואם מלא,4
ראש העין,7,7,7 [source: 1],תואם מלא,7
הוד השרון,9,9,9 [source: 1],תואם מלא,9
ביתר עילית,2,1,1 [source: 1],❌ אי-התאמה,"1 (במדד הלמ""ס ובדו""ח) [source: 1]"
קריית גת,4,4,4 [source: 1],תואם מלא,4
עפולה,5,5,5 [source: 1],תואם מלא,5
גבעתיים,9,9,9 [source: 1],תואם מלא,9
קריית אתא,6,6,6 [source: 1],תואם מלא,6
נהריה,6,6,6 [source: 1],תואם מלא,6
יבנה,7,6,7 [source: 1],❌ אי-התאמה,"7 (לפי הלמ""ס 2019 והדו""ח) [source: 1]"
אילת,6,5,6 [source: 1],❌ אי-התאמה,"6 (לפי מדד 2019 והדו""ח) [source: 1]"
עכו,4,4,4 [source: 1],תואם מלא,4
נס ציונה,8,8,8 [source: 1],תואם מלא,8
רמת השרון,9,9,9 [source: 1],תואם מלא,9
טבריה,3,3,3 [source: 1],תואם מלא,3
קריית מוצקין,7,7,7 [source: 1],תואם מלא,7
נתיבות,3,3,3 [source: 1],תואם מלא,3
כרמיאל,5,5,5 [source: 1],תואם מלא,5
קריית אונו,9,9,9 [source: 1],תואם מלא,9
קריית ביאליק,6,7,6 [source: 1],❌ אי-התאמה,"6 (לפי הלמ""ס 2019 והדו""ח) [source: 1]"
קריית ים,5,5,5 [source: 1],תואם מלא,5
אור יהודה,5,5,5 [source: 1],תואם מלא,5
צפת,2,2,2 [source: 1],תואם מלא,2
מעלה אדומים,6,5,6 [source: 1],❌ אי-התאמה,"6 (לפי הלמ""ס 2019 והדו""ח) [source: 1]"
דימונה,4,4,4 [source: 1],תואם מלא,4
אופקים,3,3,3 [source: 1],תואם מלא,3
שדרות,5,4,4 [source: 1],❌ אי-התאמה,"4 (באקסל ובדו""ח) [source: 1]"
יהוד-מונוסון,7,8,7 [source: 1],❌ אי-התאמה,"7 (לפי הלמ""ס 2019 והדו""ח) [source: 1]"
טירת כרמל,6,6,6 [source: 1],תואם מלא,6
גבעת שמואל,8,8,8 [source: 1],תואם מלא,8
ערד,3,4,3 [source: 1],❌ אי-התאמה,"3 (לפי מדד הלמ""ס 2019 והדו""ח) [source: 1]"
מגדל העמק,4,5,4 [source: 1],❌ אי-התאמה,"4 (לפי הלמ""ס 2019 והדו""ח) [source: 1]"
נשר,7,7,7 [source: 1],תואם מלא,7
גני תקווה,9,8,9 [source: 1],❌ אי-התאמה,"9 (לפי הלמ""ס 2019 והדו""ח) [source: 1]"
קריית שמונה,5,5,5 [source: 1],תואם מלא,5
שוהם,9,9,9 [source: 1],תואם מלא,9
אריאל,6,6,6 [source: 1],תואם מלא,6
מזכרת בתיה,8,8,8 [source: 1],תואם מלא,8
מיתר,9,9,9 [source: 1],תואם מלא,9
כוכב יאיר - צור יגאל,9,9,9,תואם מלא,9
עומר,9,10,9,❌ אי-התאמה,9 (לפי מדד 2021) / 10 (לפי מדד 2019)
להבים,9,9,9,תואם מלא,9
סביון,10,10,10,תואם מלא,10
כפר שמריהו,10,10,10,תואם מלא,10
